Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
1795,806,2600,1728,796,1313,299,517,1666,1889,1098
1920,779,2826,1943,893,1448,305,602,1777,1859,1213
1413,722,2010,1451,645,1073,244,464,1389,1462,931
613,105,850,51,310,78,43,74,465,461,384
1435,269,2050,557,549,131,75,296,1068,1272,736
3806,1262,4079,2750,1578,2794,414,871,3721,3234,2507
3735,1202,4613,3161,1642,2607,582,1027,3507,3136,2448
3494,1081,4229,2923,1560,2436,543,952,3318,2954,2119
3316,979,4052,2540,1451,2159,479,694,2961,2519,1975
3244,966,3865,2714,1476,2141,488,786,3031,2545,2054
2220,595,2909,1635,889,1053,220,510,1810,1593,1351
2138,275,2423,624,623,133,181,297,1361,1611,1036
5628,1635,5113,3932,2561,3295,720,1210,5302,4109,3748
4611,1335,5009,3383,2233,2691,635,1090,4177,3088,3041
4821,1196,4677,3207,2281,2332,655,1062,4228,3150,3163
4405,1076,4472,3187,2206,2444,584,1071,4053,2980,3254
5086,1142,4494,3367,2326,2536,637,1129,4205,3018,3543
3267,903,3310,2059,1375,1511,290,735,2576,2037,2642
3237,241,2379,846,1204,142,233,406,2043,1798,1981
10018,2330,6273,6191,4766,5247,1123,2067,9458,6240,8584
9513,2217,6828,6689,4565,5357,1296,2486,8219,5693,7404
9437,2348,6812,6806,4447,5092,1464,2578,8100,5842,7576
8893,1945,6095,6741,4380,4857,1421,2471,7865,5392,6816
8666,2069,5822,6746,4287,5267,1500,2500,7517,5245,6477
5010,1188,4077,3901,2169,2500,678,1513,4241,3076,4130
4396,395,2678,1409,1694,356,491,879,2780,2419,2850
11873,3004,6839,8706,5711,6996,1845,3152,11526,6931,8858
9602,2316,5706,8458,4884,5880,1958,3198,8220,5574,6265
8508,2041,5261,7070,4432,4881,1892,2697,7149,4726,5807
7602,1759,4456,6305,3879,4344,1446,2229,6266,4212,4666
6422,1631,3806,5610,3581,3728,1476,2146,5343,3605,3788
3806,901,2412,3152,1749,2006,659,1258,2770,2049,2197
2778,345,1614,958,1216,204,422,600,1803,1491,1353
7757,1981,4097,6128,4195,4836,1679,2195,7225,4482,5086
5742,1501,3194,5087,3080,3580,1591,1971,4442,3003,3263
4824,1231,2704,4150,2609,2752,1293,1573,3932,2774,2759
3960,1077,2394,3388,2185,2373,1062,1346,3226,2176,2458
3442,884,1951,2991,1917,2090,830,1204,2781,1931,2123
1929,526,1291,1471,1069,1005,421,627,1508,1090,1206
1614,122,829,404,685,87,230,279,991,804,726
4499,1092,2115,3158,2373,2612,933,1251,3864,2455,2789
3139,806,1661,2418,1616,1671,758,1062,2435,1895,1716
2827,583,1340,2101,1476,1352,572,835,2252,1541,1642
2432,581,1147,1665,1351,1103,433,674,1862,1283,1396
2110,513,1052,1456,1101,1000,388,611,1499,1154,1030
1239,228,628,696,614,321,189,281,852,578,632
1235,58,408,149,427,32,75,105,684,644,483
3158,561,1048,1529,1562,1229,501,655,2527,1859,1586
2090,368,812,1238,1176,780,302,550,1516,1265,1125
2059,373,767,1140,1046,728,247,453,1356,1064,960
1820,309,686,898,866,591,222,336,1251,1016,925
1387,269,565,854,772,448,240,272,1020,765,697
879,74,367,375,404,174,90,165,594,343,414
816,13,205,99,279,13,16,45,282,260,290
2091,299,678,889,1173,681,290,353,1647,1243,1317
1592,177,554,659,780,448,151,231,1097,923,902
1521,178,529,533,712,372,186,207,1081,887,931
1484,158,437,414,662,274,143,170,907,761,768
1198,142,356,413,597,248,117,138,757,686,621
666,44,228,145,292,77,46,64,451,375,319
558,6,182,46,220,33,14,26,271,234,197
1831,175,460,383,936,325,122,169,1419,1069,1009
1555,104,450,334,651,260,78,121,1100,887,786
1802,121,530,318,783,320,134,159,1188,943,791
1707,112,389,322,801,291,108,134,1158,862,803
1607,114,436,314,797,253,49,97,1144,782,814
1037,42,235,164,458,78,45,37,607,495,446
1055,5,179,48,404,11,17,19,568,448,345
3118,221,537,403,1537,509,159,150,2255,1674,1381
2309,112,483,360,1221,316,135,154,1552,1139,904
2542,135,534,298,1151,282,111,87,1586,1152,1052
2383,80,475,302,1010,220,124,92,1508,1116,971
2152,116,440,337,1065,302,105,103,1534,1036,978
1333,75,324,159,621,104,79,63,763,486,573
1281,18,208,61,491,27,23,23,561,453,419
4205,281,800,609,1903,520,223,255,2869,1991,1931
3291,225,706,552,1529,409,233,171,2054,1525,1409
3116,257,759,550,1485,337,300,206,2099,1540,1367
2815,200,596,455,1373,366,298,219,1840,1402,1387
2433,191,538,502,1204,323,181,194,1782,1282,1118
1484,71,331,187,690,76,109,78,928,706,574
1229,12,210,46,447,15,61,15,676,531,442
4673,358,898,745,2035,619,343,255,3407,2270,2164
3241,273,803,686,1472,406,320,239,2307,1861,1625
3445,293,782,622,1368,401,349,220,2440,1675,1686
3085,262,779,535,1218,453,342,245,2174,1629,1476
2565,261,710,575,1117,367,251,203,1894,1440,1388
1403,88,424,224,555,119,150,83,1002,653,687
982,41,226,86,402,6,56,27,575,416,389
4377,389,1008,791,1857,676,340,386,3200,2368,2325
